filmId,titulo,tituloOriginal,ano,director,duracion,tipoAuditado,tmdbId,imdbId,imdbIdCampoPresente,votos,publico,diagnostico,imdbVerificado,ratingVerificado,urlCineteca
HO00009789,Punto de fuga,Noghteh-e-Goriz,2025,Bani Khoshnoudi,104,largometraje,1147168,,True,0,,"TMDB 1147168, 0 votos y sin imdbId. El cruce literal falla; el alias externo The Vanishing Point permite validar tt36455629: 6,1 / 16 votos.",tt36455629,"{'value': 6.1, 'votes': 16}",https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009789&cinemas=001
HO00010023,Contra corriente/Somos/El sueño de las luciérnagas,Programa 3: Fronteras,2026,Varios,80,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010023&cinemas=002
HO00009953,El jardín de María,El Jardín de María,2025,Jade Rainho,72,largometraje,,,True,,,"Log: sin match en TMDB. El JSON solo trae el título español. Con O Jardim de Maria se valida tt34058294 (2025, Jade Rainho, 72 min); sin fila en ratings.",tt34058294,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009953&cinemas=002
HO00010022,Os filhos do underground contra o crânioda batata,Programa 2: Infancias y juventudes,2026,Varios,50,programa/recopilación,,,True,,,El título original dice Programa y director Varios; la heurística no lo detecta. El log registra búsqueda sin match. Sin TMDB ni enlace IMDb.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010022&cinemas=002
HO00009981,Shorts 2026: Competencia Mexicana de Animación 5,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009981&cinemas=003
HO00009968,Shorts 2026: Competencia Mexicana de Documental 5,COMPETENCIA MEXICANA DOCUMENTAL - PROGRAMA 5,2026,Varios,120,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009968&cinemas=003
HO00010000,Shorts 2026: Competencia Mexicana de Ficción 5,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010000&cinemas=003
HO00010016,Shorts 2026: Cortitos Cine Infantil 2,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010016&cinemas=003
HO00009988,Shorts 2026: Neomex 5,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009988&cinemas=003
HO00009184,Boca vieja,Boca Vieja,2025,Yovegami Ascona Mora,85,largometraje,1357891,tt37950235,True,0,,"TMDB 1357891, 0 votos; IMDb tt37950235 sí identificado, pero sin fila en ratings.",tt37950235,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009184&cinemas=001
HO00010051,"Resiliencia/Sururu blanco/Bajo el polvo, nuestra t",Programa 3: Medio ambiente y desarrollo sustentable,2026,Varios,86,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010051&cinemas=001
HO00010024,En busca de riquesas (casi) olvidadas/¿Quién puede,Programa 4: Identidades indígenas y afrodescendientes,2026,Varios,82,programa/recopilación,,,True,,,El título original dice Programa y director Varios; la heurística no lo detecta. El log registra búsqueda sin match. Sin TMDB ni enlace IMDb.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010024&cinemas=002
HO00010025,Entre surcos y memoria: Sembrando resistencia en,Programa 3: Derechos,2026,Varios,78,programa/recopilación,,,True,,,El título original dice Programa y director Varios; la heurística no lo detecta. El log registra búsqueda sin match. Sin TMDB ni enlace IMDb.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010025&cinemas=002
HO00009949,Norma también,Norma También,2025,Natalia Vinelli,77,largometraje,1533167,,True,0,,"TMDB 1533167, 0 votos y sin imdbId. Sin candidato validado en el cruce por títulos. Letterboxd sí tiene ficha y reseñas; no se midió su promedio accesible vía API.",,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009949&cinemas=002
HO00009969,Shorts 2026: Competencia Mexicana de Documental 6,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009969&cinemas=003
HO00010001,Shorts 2026: Competencia Mexicana de Ficción 6,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010001&cinemas=003
HO00009989,Shorts 2026: Neomex 6,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009989&cinemas=003
HO00009982,Shorts 2026: Queer Shorts 1,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009982&cinemas=003
HO00010027,El eco de la mirada/No olvidemos/La casa de Ana/¿C,Programa 1: Derechos,2026,Varios,90,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010027&cinemas=002
HO00010026,"Ser, no ser, ser muchas/Rojo/La identidad que hemo",Programa 1: Género,2026,Varios,76,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010026&cinemas=002
HO00010029,Un lugar en la ciudad,,2025,Gabriel Silvestre,62,largometraje,,,True,,,Log: sin match en TMDB. Sin candidato IMDb validado. Oxford y Cambridge documentan el alias A Place in the City; tampoco produjo coincidencia movie en title.basics de esta copia.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010029&cinemas=002
HO00010028,Vientre de luna/Menino/Capitana partera/Unlearning,Programa 1: Identidades indígenas y afrodescendientes,2026,Varios,85,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010028&cinemas=002
HO00009970,Shorts 2026: Competencia Mexicana de Documental 7,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009970&cinemas=003
HO00010002,Shorts 2026: Competencia Mexicana de Ficción 7,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010002&cinemas=003
HO00009990,Shorts 2026: Neomex 7,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009990&cinemas=003
HO00009983,Shorts 2026: Queer Shorts 2,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009983&cinemas=003
HO00009792,Hojas secas,Khmeli potoli,,Alexandre Koberidze,186,largometraje,,,True,,,"Log: sin match en TMDB. Año null en JSON; título original Khmeli potoli sí permite validar tt37537636 (2025, Aleksandre Koberidze, 186 min): 6,6 / 342 votos.",tt37537636,"{'value': 6.6, 'votes': 342}",https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009792&cinemas=001
HO00009973,Shorts 2026: Fantascorto 4,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009973&cinemas=003
HO00009991,Shorts 2026: Funshorts Cine de Comedia 1,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009991&cinemas=003
HO00009992,Shorts 2026: Muestra Mexicana 1,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009992&cinemas=003
HO00009974,Shorts 2026: Muestra Mexicana Experimental 1,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009974&cinemas=003
HO00010033,Cuando el fuego se convierte en ceniza,,2025,Michaela Grill,96,largometraje,,,True,,,Log: sin match en TMDB. Falta título original. Alias When Fire Turns to Ash confirma tt40711134 de Michaela Grill; IMDb 2026 y 95 min frente a Cineteca 2025 y 96 min. Sin fila en ratings.,tt40711134,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010033&cinemas=002
HO00010036,"Cuidado, niños jugando/Ojo vigilante/La hora de la",Programa 1: Fronteras,2026,Varios,77,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010036&cinemas=002
HO00010034,Infancia arrebatada/Imposible: la realidad del pet,Programa 1: Medio ambiente y desarrollo sustentable,2026,Varios,88,programa/recopilación,,,True,,,El título original dice Programa y director Varios; la heurística no lo detecta. El log registra búsqueda sin match. Sin TMDB ni enlace IMDb.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010034&cinemas=002
HO00010035,Zapocelta/La fundación/Solo es cuestión de tiempo/,Programa 2: Arte y cultura/ vida cotidiana y cambio social,2026,Varios,45,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010035&cinemas=002
HO00010003,Shorts 2026: Ecoshorts,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010003&cinemas=003
HO00009971,Shorts 2026: Fantascorto 1,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009971&cinemas=003
HO00009972,Shorts 2026: Fantascorto 2,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009972&cinemas=003
HO00009993,Shorts 2026: Muestra Mexicana 2,,,,,programa/recopilación,,,True,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009993&cinemas=003
HO00009758,Animanimales,ANIMANIMALES,,Julia Ocker,64,programa/recopilación,,,True,,,"Recopilación de episodios/cortos de Julia Ocker, confirmada en la ficha Cineteca. El script busca como película y el log registra sin match; no corresponde asignar la nota de la serie al programa.",,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00009758&cinemas=001
HO00010015,Shorts 2026: Cortitos Cine Infantil 1,,,,,programa/recopilación,,,False,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010015&cinemas=003
HO00010049,(El niño que amaba las estrellas)/Una muerte bland,Programa 1: Infancias y juventudes,2026,Varios,53,programa/recopilación,,,False,,,El título original dice Programa y director Varios; no lo detecta esPrograma(). Entrada sin match conservada de una corrida anterior; no aparece búsqueda en el log actual.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010049&cinemas=001
HO00010021,Que volá/Cuando el cielo vuela a ser luz/Restauro/,Programa 3: Vida cotidiana y cambio social,2026,Varios,92,programa/recopilación,,,False,,,Programa identificado por el título; esPrograma() lo excluye de la búsqueda TMDB. Sin TMDB ni enlace IMDb. No se verificó una nota del programa como unidad.,,,https://www.cinetecanacional.net/detallePelicula.php?FilmId=HO00010021&cinemas=002
